Fecha,Sin indexar,Indexadas,Impresiones
2026-08-23,,,1
2026-08-24,,,0
2026-08-25,,,0
2026-08-26,,,0
2026-08-27,1,2,1
2026-08-28,11,6,0
2026-08-29,11,6,3
2026-08-30,11,6,5
2026-08-31,11,6,6
2026-09-01,11,6,3
2026-09-02,11,6,1
2026-09-03,11,6,4
2026-09-04,19,11,0
2026-09-05,19,11,4
2026-09-06,19,11,1
2026-09-07,19,11,2
2026-09-08,19,11,1
2026-09-09,19,11,2
2026-09-10,19,11,22
2026-09-11,19,11,8
2026-09-12,19,11,3
2026-09-13,19,11,6
